Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.12.2,0.35636,7.2664,344.1556,24.4922
13.12.2,0.35746,7.2664,344.1556,24.4922
13.12.2,0.35746,7.2664,344.1556,24.1699
13.12.2,0.35746,7.2915,344.1556,24.4922
13.12.3,0.358,7.2664,344.1556,24.4922
13.12.3,0.35746,7.2664,344.1556,24.1699
13.12.3,0.35746,7.2664,344.1556,24.4922
13.12.4,0.358,7.2664,344.1556,24.4922
13.12.4,0.358,7.2664,344.1556,24.4922
13.12.4,0.358,7.2664,344.1556,24.4922
13.12.5,0.358,7.2664,344.1556,24.4922
13.12.5,0.35746,7.2664,344.1556,24.1699
13.12.5,0.358,7.2664,344.1556,24.1699
13.12.6,0.358,7.2664,344.1556,24.4922
13.12.6,0.358,7.2664,344.1556,24.4922
13.12.6,0.35855,7.2664,344.1556,24.4922
13.12.6,0.358,7.2664,344.1556,24.1699
13.12.7,0.358,7.2664,344.1556,24.4922
13.12.7,0.35855,7.2664,344.1556,24.1699
13.12.7,0.35855,7.2664,344.1556,24.1699
13.12.8,0.35855,7.2664,344.1556,24.4922
13.12.8,0.358,7.2664,344.1556,24.1699
13.12.8,0.35855,7.2664,344.1556,24.1699
13.12.9,0.35855,7.2664,344.1556,24.1699
13.12.9,0.3591,7.2664,344.1556,24.1699
13.12.9,0.358,7.2664,344.1556,24.1699
13.12.10,0.35855,7.2664,344.1556,24.1699
13.12.10,0.35855,7.2664,344.1556,24.1699
13.12.10,0.35855,7.2664,344.1556,24.4922
13.12.10,0.358,7.2664,344.1556,24.4922
13.12.11,0.3591,7.2664,344.1556,24.1699
13.12.11,0.358,7.2664,344.1556,24.1699
13.12.11,0.35855,7.2664,344.1556,24.1699
13.12.12,0.35855,7.2664,344.1556,24.4922
13.12.12,0.35855,7.2664,344.1556,24.1699
13.12.12,0.35855,7.2664,344.1556,24.1699
13.12.13,0.358,7.2664,344.1556,24.1699
13.12.13,0.358,7.2664,344.1556,24.1699
13.12.13,0.358,7.2664,344.1556,24.1699
13.12.14,0.358,7.2664,344.1556,24.1699
13.12.14,0.358,7.2664,344.1556,24.1699
13.12.14,0.358,7.2664,343.3567,24.1699
13.12.14,0.35855,7.2664,344.1556,24.1699
13.12.15,0.35855,7.2664,343.3567,24.1699
13.12.15,0.35855,7.2664,344.1556,24.1699
13.12.15,0.358,7.2664,343.3567,24.1699
13.12.16,0.358,7.2664,343.3567,24.1699
13.12.16,0.35855,7.2664,343.3567,24.1699
13.12.16,0.3591,7.2664,344.1556,24.1699
13.12.17,0.35855,7.2664,344.1556,24.1699
13.12.17,0.3591,7.2664,343.3567,24.1699
13.12.17,0.35855,7.2664,343.3567,24.1699
13.12.18,0.35855,7.2664,344.1556,24.1699
13.12.18,0.35855,7.2664,343.3567,24.1699
13.12.18,0.358,7.2664,344.1556,24.1699
13.12.18,0.35855,7.2664,343.3567,24.1699
13.12.19,0.3591,7.2664,344.1556,24.1699
13.12.19,0.35855,7.2664,343.3567,24.1699
13.12.19,0.35855,7.2664,343.3567,24.1699
13.12.20,0.358,7.2664,344.1556,24.1699
13.12.20,0.35855,7.2664,343.3567,24.1699
13.12.20,0.3591,7.2664,344.1556,24.1699
13.12.21,0.35855,7.2664,343.3567,24.1699
13.12.21,0.3591,7.2664,343.3567,24.1699
13.12.21,0.3591,7.2664,343.3567,24.1699
13.12.22,0.3591,7.2664,343.3567,24.1699
13.12.22,0.3591,7.2664,343.3567,24.1699
13.12.22,0.35855,7.2664,343.3567,24.1699
13.12.22,0.35855,7.2664,343.3567,24.1699
13.12.23,0.35855,7.2414,344.1556,24.1699
13.12.23,0.35855,7.2664,343.3567,24.1699
13.12.23,0.3591,7.2664,343.3567,24.1699
13.12.24,0.3591,7.2664,344.1556,24.1699
13.12.24,0.35855,7.2664,344.1556,24.1699
13.12.24,0.3591,7.2414,343.3567,24.1699
13.12.25,0.3591,7.2414,343.3567,24.1699
13.12.25,0.3591,7.2414,344.9408,24.1699
